Cuisine Type,URL
South American Recipes,http://allrecipes.com/recipes/730/world-cuisine/latin-american/south-american
Mexican Recipes,http://allrecipes.com/recipes/728/world-cuisine/latin-american/mexican
Caribbean Recipes,http://allrecipes.com/recipes/230/world-cuisine/latin-american/caribbean
