Recipe,URL
Chicken Broccoli Ca - Unieng's Style,http://allrecipes.com/recipe/46819/chicken-broccoli-ca---uniengs-style
Szechwan Shrimp,http://allrecipes.com/recipe/86230/szechwan-shrimp
Chi Tan T'ang (Egg Drop Soup),http://allrecipes.com/recipe/12947/chi-tan-tang-egg-drop-soup
Spring Asparagus Salad,http://allrecipes.com/recipe/163930/spring-asparagus-salad
Long Soup,http://allrecipes.com/recipe/13393/long-soup
Eggplant with Garlic Sauce,http://allrecipes.com/recipe/201964/eggplant-with-garlic-sauce
Peking Duck,http://allrecipes.com/recipe/31972/peking-duck
Chinese Spicy Hot And Sour Soup,http://allrecipes.com/recipe/13185/chinese-spicy-hot-and-sour-soup
Hong Kong Style Egg Tarts,http://allrecipes.com/recipe/54600/hong-kong-style-egg-tarts
Sweet and Sour Chicken I,http://allrecipes.com/recipe/8536/sweet-and-sour-chicken-i
Hong Kong Sweet and Sour Pork,http://allrecipes.com/recipe/143090/hong-kong-sweet-and-sour-pork
Char Siu (Chinese BBQ Pork),http://allrecipes.com/recipe/232681/char-siu-chinese-bbq-pork
Adriel's Chinese Curry Chicken,http://allrecipes.com/recipe/214774/adriels-chinese-curry-chicken
Chinese Spareribs,http://allrecipes.com/recipe/77408/chinese-spareribs
Chinese Style Sesame Sauce,http://allrecipes.com/recipe/46908/chinese-style-sesame-sauce
Egg Drop Soup I,http://allrecipes.com/recipe/13207/egg-drop-soup-i
Chinese Pepper Steak,http://allrecipes.com/recipe/172704/chinese-pepper-steak
Ma Po Tofu,http://allrecipes.com/recipe/42932/ma-po-tofu
Chinese Restaurant-Style Sesame Chicken,http://allrecipes.com/recipe/9052/chinese-restaurant-style-sesame-chicken
Chinese Pork Tenderloin,http://allrecipes.com/recipe/53935/chinese-pork-tenderloin
Chinese Cabbage Salad II,http://allrecipes.com/recipe/14447/chinese-cabbage-salad-ii
Chinese Chicken Casserole Surprise,http://allrecipes.com/recipe/16850/chinese-chicken-casserole-surprise
Easy Shrimp Lo Mein,http://allrecipes.com/recipe/223101/easy-shrimp-lo-mein
Hot and Sour Chinese Eggplant,http://allrecipes.com/recipe/52925/hot-and-sour-chinese-eggplant
Chicken and Snow Peas,http://allrecipes.com/recipe/202469/chicken-and-snow-peas
Chinese Broccoli Slaw,http://allrecipes.com/recipe/187963/chinese-broccoli-slaw
Slippery Shrimp,http://allrecipes.com/recipe/160957/slippery-shrimp
Mongolian Beef II,http://allrecipes.com/recipe/26627/mongolian-beef-ii
General Tao Chicken,http://allrecipes.com/recipe/146579/general-tao-chicken
Chinese Steamed Buns,http://allrecipes.com/recipe/7011/chinese-steamed-buns
Peking Pork Chops,http://allrecipes.com/recipe/22219/peking-pork-chops
Joe's General Tso's Chicken,http://allrecipes.com/recipe/197394/joes-general-tsos-chicken
General Tsao's Chicken II,http://allrecipes.com/recipe/91499/general-tsaos-chicken-ii
