Recipe,URL
"Chicken French - Rochester, NY Style",http://allrecipes.com/recipe/213487/chicken-french---rochester-ny-style
Poulet Parisienne,http://allrecipes.com/recipe/17118/poulet-parisienne
Bordelaise Sauce with Mushrooms,http://allrecipes.com/recipe/166887/bordelaise-sauce-with-mushrooms
Fresh Pea Soup,http://allrecipes.com/recipe/95110/fresh-pea-soup
French Bread,http://allrecipes.com/recipe/6882/french-bread
Holly's Chicken Cordon Bleu Casserole,http://allrecipes.com/recipe/216026/hollys-chicken-cordon-bleu-casserole
French Leek Pie,http://allrecipes.com/recipe/81537/french-leek-pie
French Baguettes,http://allrecipes.com/recipe/7028/french-baguettes
Meringue Mushrooms,http://allrecipes.com/recipe/40322/meringue-mushrooms
French Butter Cakes (Madeleines),http://allrecipes.com/recipe/9954/french-butter-cakes-madeleines
Fondant Potatoes,http://allrecipes.com/recipe/233295/fondant-potatoes
Beef Bourguignon I,http://allrecipes.com/recipe/16167/beef-bourguignon-i
French Coconut Pie,http://allrecipes.com/recipe/20467/french-coconut-pie
Easy Coq Au Vin,http://allrecipes.com/recipe/17021/easy-coq-au-vin
Baked Brie in Puff Pastry,http://allrecipes.com/recipe/15192/baked-brie-in-puff-pastry
Authentic French Meringues,http://allrecipes.com/recipe/58871/authentic-french-meringues
Sweet Honey French Bread,http://allrecipes.com/recipe/6818/sweet-honey-french-bread
"Blue Cheese, Bacon and Chive Stuffed Pork Chops",http://allrecipes.com/recipe/81087/blue-cheese-bacon-and-chive-stuffed-pork-chops
Plum Clafouti,http://allrecipes.com/recipe/41234/plum-clafouti
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=721&referringContentType=recipe%20hub&clickId=cardslot%2010
Egg-White Crepes,http://allrecipes.com/recipe/141970/egg-white-crepes
Dessert Crepes,http://allrecipes.com/recipe/19037/dessert-crepes
Gratin Dauphinois de Solange,http://allrecipes.com/recipe/246439/gratin-dauphinois-de-solange
French Onion Soup III,http://allrecipes.com/recipe/13395/french-onion-soup-iii
Different Chicken Cordon Bleu,http://allrecipes.com/recipe/17120/different-chicken-cordon-bleu
Kalamata Olive Tapenade,http://allrecipes.com/recipe/165309/kalamata-olive-tapenade
Chicken Cordon Bleu Casserole,http://allrecipes.com/recipe/132959/chicken-cordon-bleu-casserole
French Breakfast Puffs,http://allrecipes.com/recipe/24149/french-breakfast-puffs
Real French Crepes,http://allrecipes.com/recipe/17571/real-french-crepes
Omelet in a Bag,http://allrecipes.com/recipe/85107/omelet-in-a-bag
No-Knead Artisan Style Bread,http://allrecipes.com/recipe/214751/no-knead-artisan-style-bread
Grilled Chicken Cordon Bleu Sandwiches,http://allrecipes.com/recipe/15266/grilled-chicken-cordon-bleu-sandwiches
French Onion Soup V,http://allrecipes.com/recipe/16386/french-onion-soup-v
Skillet Herbed Chicken with Mustard,http://allrecipes.com/recipe/47006/skillet-herbed-chicken-with-mustard
Creme Brulee II,http://allrecipes.com/recipe/19029/creme-brulee-ii
Creme Brulee,http://allrecipes.com/recipe/19165/creme-brulee
Chicken Cordon Bleu II,http://allrecipes.com/recipe/8669/chicken-cordon-bleu-ii
How to Make Cherry Clafouti,http://allrecipes.com/video/3784/how-to-make-cherry-clafouti?internalSource=videocard&referringId=721&referringContentType=recipe%20hub&clickId=cardslot%2021
