Recipe Name,Ingredient,URL
ANZAC Biscuits with Almonds,quick cooking oats,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,all-purpose flour,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,sliced almonds,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,white sugar,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,melted butter,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,baking soda,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,golden syrup,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,boiling water,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
Savory Sweet Potato Muffins with Bacon,large sweet potato,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,bacon,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,vegetable oil,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,small onion,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,all-purpose flour,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,baking powder,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,baking soda,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,mild curry powder,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,salt,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,shredded sharp Cheddar cheese,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,eggs,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,milk,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,sour cream,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Savory Sweet Potato Muffins with Bacon,unsalted butter,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Roasted Lemon Herb Chicken,Italian seasoning,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,seasoning salt,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,mustard powder,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,garlic powder,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,ground black pepper,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,(3 pound) whole chicken,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,lemons,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Roasted Lemon Herb Chicken,olive oil,http://allrecipes.com/recipe/8709/roasted-lemon-herb-chicken
Easy New Zealand Squares,all-purpose flour,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,flaked coconut,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,chopped dates,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,white sugar,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,baking powder,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,butter,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,golden syrup,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,vanilla,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Easy New Zealand Squares,flaked coconut,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Toaster Biscuits,active dry yeast,http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,white sugar,http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,warm water (110 degrees F/45 degrees C),http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,unbleached flour,http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,salt,http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,milk (110 degrees F/45 degrees C),http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,vegetable oil,http://allrecipes.com/recipe/18000/toaster-biscuits
Toaster Biscuits,cornmeal,http://allrecipes.com/recipe/18000/toaster-biscuits
A Drama Queen's Pavlova,egg whites,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,pinch salt,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,vinegar,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,castor sugar or superfine sugar,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,vanilla extract,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,unsweetened  coconut (optional),http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,sweetened  cream,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,fresh strawberries,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,kiwifruit   lengthwise and,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,"fresh peach - peeled, pitted and sliced",http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
A Drama Queen's Pavlova,fresh blueberries,http://allrecipes.com/recipe/83706/a-drama-queens-pavlova
Sticky Toffee Pudding Cake,pitted  dates,http://allrecipes.com/recipe/8148/sticky-toffee-pudding-cake
Sticky Toffee Pudding Cake,baking soda,http://allrecipes.com/recipe/8148/sticky-toffee-pudding-cake
