Cuisine Type,URL
Thai Recipes,http://allrecipes.com/recipes/702/world-cuisine/asian/thai
Filipino Recipes,http://allrecipes.com/recipes/696/world-cuisine/asian/filipino
Japanese Recipes,http://allrecipes.com/recipes/699/world-cuisine/asian/japanese
Korean Recipes,http://allrecipes.com/recipes/700/world-cuisine/asian/korean
Indian Recipes,http://allrecipes.com/recipes/233/world-cuisine/asian/indian
Chinese Recipes,http://allrecipes.com/recipes/695/world-cuisine/asian/chinese
