Cuisine Type,URL
Quebec Recipes,http://allrecipes.com/recipes/16104/world-cuisine/canadian/quebec
Vancouver Recipes,http://allrecipes.com/recipes/16075/world-cuisine/canadian/vancouver
Canadian Occasions,http://allrecipes.com/recipes/15041/world-cuisine/canadian/occasions
Allrecipes Allstars Canada,http://allrecipes.com/recipes/17719/world-cuisine/canadian/allrecipes-allstars
Toronto Recipes,http://allrecipes.com/recipes/1638/world-cuisine/canadian/toronto
