Cuisine Type,URL
Lebanese Recipes,http://allrecipes.com/recipes/1824/world-cuisine/middle-eastern/lebanese
Turkish Recipes,http://allrecipes.com/recipes/1825/world-cuisine/middle-eastern/turkish
Israeli Recipes,http://allrecipes.com/recipes/1826/world-cuisine/middle-eastern/israeli
Persian Recipes,http://allrecipes.com/recipes/15937/world-cuisine/middle-eastern/persian
