Cuisine Type,URL
African Main Dishes,http://allrecipes.com/recipes/17475/world-cuisine/african/main-dishes
African Soups and Stews,http://allrecipes.com/recipes/17477/world-cuisine/african/soups-and-stews
South African Recipes,http://allrecipes.com/recipes/15035/world-cuisine/african/south-african
East African Recipes,http://allrecipes.com/recipes/17845/world-cuisine/african/east-african
North African Recipes,http://allrecipes.com/recipes/17582/world-cuisine/african/north-african
African Side Dishes,http://allrecipes.com/recipes/17476/world-cuisine/african/side-dishes
